order_item_id,price,freight_value,freight_ratio,total_price,product_weight_g,product_length_cm,product_height_cm,product_width_cm,order_purchase_dayofweek,order_purchase_month,expected_delivery_days,main_category,sub_category,distance_km,distance_cat,cross_state,is_sp_customer,is_sp_seller,sp_route_type,sp_route_type_customer,sp_route_type_seller,review_risk_probability,predicted_delivery_days_p90,recommended_expected_days,adjustment_days,risk_level
6,79.99,30.4,0.38004750593824227,110.38999999999999,9200.0,53.0,52.0,17.0,tuesday,1,41,Home & Living,Furniture & Decor,366.6789766678119,Mid-Haul,1,0,1,1,0,1,0.9086901776994191,32.47818065368167,41.0,0.0,고위험
5,79.99,30.4,0.38004750593824227,110.38999999999999,9200.0,53.0,52.0,17.0,tuesday,1,41,Home & Living,Furniture & Decor,366.6789766678119,Mid-Haul,1,0,1,1,0,1,0.9056311298141299,32.147416817765,41.0,0.0,고위험
4,79.99,30.4,0.38004750593824227,110.38999999999999,9200.0,53.0,52.0,17.0,tuesday,1,41,Home & Living,Furniture & Decor,366.6789766678119,Mid-Haul,1,0,1,1,0,1,0.9017917490182498,32.25198199878073,41.0,0.0,고위험
4,79.98,48.29,0.6037759439859964,128.27,12775.0,37.0,65.0,36.0,tuesday,12,36,Home & Living,Furniture & Decor,314.3268159023895,Mid-Haul,1,0,1,1,0,1,0.8955394944775016,33.078479301218344,36.0,0.0,고위험
3,79.99,30.4,0.38004750593824227,110.38999999999999,9200.0,53.0,52.0,17.0,tuesday,1,41,Home & Living,Furniture & Decor,366.6789766678119,Mid-Haul,1,0,1,1,0,1,0.8899963064371489,32.56414478903459,41.0,0.0,고위험
7,194.99,59.91,0.3072465254628442,254.9,16167.0,64.0,62.0,25.0,saturday,11,26,Home & Living,Furniture & Decor,310.6128979377577,Mid-Haul,1,0,1,1,0,1,0.8737524910854796,30.383021753799472,31.0,5.0,고위험
8,194.99,59.91,0.3072465254628442,254.9,16167.0,64.0,62.0,25.0,saturday,11,26,Home & Living,Furniture & Decor,310.6128979377577,Mid-Haul,1,0,1,1,0,1,0.8737524910854796,30.362735131017683,31.0,5.0,고위험
2,79.98,48.29,0.6037759439859964,128.27,12775.0,37.0,65.0,36.0,tuesday,12,36,Home & Living,Furniture & Decor,314.3268159023895,Mid-Haul,1,0,1,1,0,1,0.8733108482349863,33.84835042139699,36.0,0.0,고위험
2,194.99,105.38,0.5404379711780091,300.37,16167.0,64.0,62.0,25.0,monday,11,42,Home & Living,Furniture & Decor,2282.2370964964,Continental,1,0,1,1,0,1,0.8691041506074451,36.49809883556725,42.0,0.0,고위험
6,103.99,37.13,0.35705356284258105,141.12,9700.0,27.0,15.0,92.0,thursday,2,24,Home & Living,Furniture & Decor,623.2238839619412,Mid-Haul,1,0,1,1,0,1,0.8688547452789254,26.256847039313353,27.0,3.0,고위험
5,103.99,37.13,0.35705356284258105,141.12,9700.0,27.0,15.0,92.0,thursday,2,24,Home & Living,Furniture & Decor,623.2238839619412,Mid-Haul,1,0,1,1,0,1,0.8633549275665979,26.344805623943422,27.0,3.0,고위험
4,103.99,37.13,0.35705356284258105,141.12,9700.0,27.0,15.0,92.0,thursday,2,24,Home & Living,Furniture & Decor,623.2238839619412,Mid-Haul,1,0,1,1,0,1,0.8578565828182834,26.446857836724202,27.0,3.0,고위험
2,78.99,33.91,0.42929484744904417,112.89999999999999,9200.0,53.0,52.0,17.0,monday,11,28,Home & Living,Furniture & Decor,316.42312233722754,Mid-Haul,1,0,1,1,0,1,0.8564286109183347,32.425270163482494,33.0,5.0,고위험
6,140.0,83.83,0.5987857142857143,223.82999999999998,9400.0,35.0,45.0,45.0,thursday,3,26,Home & Living,Furniture & Decor,1454.5313334294378,Long-Haul,1,0,1,1,0,1,0.8548998759192948,33.97989723042245,34.0,8.0,고위험
6,194.99,59.91,0.3072465254628442,254.9,16167.0,64.0,62.0,25.0,saturday,11,26,Home & Living,Furniture & Decor,310.6128979377577,Mid-Haul,1,0,1,1,0,1,0.8546686847506806,30.275530737848626,31.0,5.0,고위험
5,140.0,83.83,0.5987857142857143,223.82999999999998,9400.0,35.0,45.0,45.0,thursday,3,26,Home & Living,Furniture & Decor,1454.5313334294378,Long-Haul,1,0,1,1,0,1,0.8545656520838545,33.79897277097131,34.0,8.0,고위험
4,140.0,83.83,0.5987857142857143,223.82999999999998,9400.0,35.0,45.0,45.0,thursday,3,26,Home & Living,Furniture & Decor,1454.5313334294378,Long-Haul,1,0,1,1,0,1,0.8528908443115313,33.77671125564271,34.0,8.0,고위험
3,194.99,59.91,0.3072465254628442,254.9,16167.0,64.0,62.0,25.0,saturday,11,26,Home & Living,Furniture & Decor,310.6128979377577,Mid-Haul,1,0,1,1,0,1,0.8508522438931696,31.08483256251212,32.0,6.0,고위험
5,194.99,59.91,0.3072465254628442,254.9,16167.0,64.0,62.0,25.0,saturday,11,26,Home & Living,Furniture & Decor,310.6128979377577,Mid-Haul,1,0,1,1,0,1,0.8502203168841769,30.781776447921565,31.0,5.0,고위험
3,18.6,5.67,0.30483870967741933,24.270000000000003,167.0,24.0,14.0,11.0,wednesday,2,27,Electronics & Tech,IT & Computers,293.5288898987049,Mid-Haul,0,1,1,2,2,2,0.8497114933079738,12.274164827697557,27.0,0.0,고위험
